,causes,caused,weight
636,AT13,HU33,0
637,AT13,IE01,0
638,AT13,IE02,0
639,AT13,ITC1,0
640,AT13,ITC2,1
641,AT13,ITC3,0
642,AT13,ITC4,0
643,AT13,ITD1,0
644,AT13,ITD2,0
645,AT13,ITD3,1
646,AT13,ITD4,0
647,AT13,ITD5,0
648,AT13,ITE1,0
649,AT13,ITE2,0
650,AT13,ITE3,0
651,AT13,ITE4,0
652,AT13,ITF1,0
653,AT13,ITF2,0
654,AT13,ITF3,0
655,AT13,ITF4,0
656,AT13,ITF5,0
657,AT13,ITF6,0
658,AT13,ITG1,0
659,AT13,ITG2,0
660,AT13,LT00,0
661,AT13,LU00,0
662,AT13,LV00,0
663,AT13,MT00,0
664,AT13,NL11,0
665,AT13,NL12,0
666,AT13,NL13,0
667,AT13,NL21,0
668,AT13,NL22,0
669,AT13,NL23,0
670,AT13,NL31,0
671,AT13,NL32,0
672,AT13,NL33,0
673,AT13,NL34,0
674,AT13,NL41,0
675,AT13,NL42,0
676,AT13,PL11,0
677,AT13,PL12,0
678,AT13,PL21,0
679,AT13,PL22,0
680,AT13,PL31,0
681,AT13,PL32,0
682,AT13,PL33,0
683,AT13,PL34,0
684,AT13,PL41,0
685,AT13,PL42,0
686,AT13,PL43,0
687,AT13,PL51,0
688,AT13,PL52,0
689,AT13,PL61,0
690,AT13,PL62,0
691,AT13,PL63,0
692,AT13,PT11,0
693,AT13,PT15,0
694,AT13,PT16,0
695,AT13,PT17,0
696,AT13,PT18,0
697,AT13,SE11,0
698,AT13,SE12,0
699,AT13,SE21,0
700,AT13,SE22,0
701,AT13,SE23,0
702,AT13,SE31,0
703,AT13,SE32,0
704,AT13,SE33,0
705,AT13,SI00,0
706,AT13,SK01,0
707,AT13,SK02,0
708,AT13,SK03,0
709,AT13,SK04,0
710,AT13,UKC1,0
711,AT13,UKC2,0
712,AT13,UKD1,0
713,AT13,UKD2,0
714,AT13,UKD3,0
715,AT13,UKD4,0
716,AT13,UKD5,0
717,AT13,UKE1,0
718,AT13,UKE2,0
719,AT13,UKE3,0
720,AT13,UKE4,0
721,AT13,UKF1,0
722,AT13,UKF2,0
723,AT13,UKF3,0
724,AT13,UKG1,0
725,AT13,UKG2,0
726,AT13,UKG3,0
727,AT13,UKH1,0
728,AT13,UKH2,0
729,AT13,UKH3,0
730,AT13,UKI1,0
731,AT13,UKI2,0
732,AT13,UKJ1,0
733,AT13,UKJ2,0
734,AT13,UKJ3,0
735,AT13,UKJ4,0
736,AT13,UKK1,0
737,AT13,UKK2,0
738,AT13,UKK3,0
739,AT13,UKK4,0
740,AT13,UKL1,0
741,AT13,UKL2,0
742,AT13,UKM2,0
743,AT13,UKM3,0
744,AT13,UKM5,0
745,AT13,UKM6,1
746,AT13,UKN0,1
747,AT21,AT11,0
748,AT21,AT12,0
749,AT21,AT13,0
750,AT21,AT21,0
751,AT21,AT22,0
752,AT21,AT31,0
753,AT21,AT32,0
754,AT21,AT33,0
755,AT21,AT34,0
756,AT21,BE10,0
757,AT21,BE21,0
758,AT21,BE22,0
759,AT21,BE23,1
760,AT21,BE24,0
761,AT21,BE25,0
762,AT21,BE31,0
763,AT21,BE32,0
764,AT21,BE33,0
765,AT21,BE34,0
766,AT21,BE35,0
767,AT21,CZ01,0
768,AT21,CZ02,0
769,AT21,CZ03,0
770,AT21,CZ04,0
771,AT21,CZ05,0
772,AT21,CZ06,0
773,AT21,CZ07,0
774,AT21,CZ08,0
775,AT21,DE11,0
776,AT21,DE12,0
777,AT21,DE13,0
778,AT21,DE14,0
779,AT21,DE21,0
780,AT21,DE22,0
781,AT21,DE23,0
782,AT21,DE24,0
783,AT21,DE25,0
784,AT21,DE26,0
785,AT21,DE27,0
786,AT21,DE30,0
787,AT21,DE41,0
788,AT21,DE42,0
789,AT21,DE50,0
790,AT21,DE60,0
791,AT21,DE71,0
792,AT21,DE72,0
793,AT21,DE73,0
794,AT21,DE80,0
795,AT21,DE91,0
796,AT21,DE92,0
797,AT21,DE93,0
798,AT21,DE94,0
799,AT21,DEA1,0
800,AT21,DEA2,0
801,AT21,DEA3,0
802,AT21,DEA4,0
803,AT21,DEA5,0
804,AT21,DEB1,0
805,AT21,DEB2,0
806,AT21,DEB3,0
807,AT21,DEC0,0
808,AT21,DED1,0
809,AT21,DED2,0
810,AT21,DED3,0
811,AT21,DEE1,0
812,AT21,DEE2,1
813,AT21,DEE3,0
814,AT21,DEF0,0
815,AT21,DEG0,0
816,AT21,DK01,0
817,AT21,DK02,0
818,AT21,DK03,0
819,AT21,EE00,0
820,AT21,ES11,0
821,AT21,ES12,0
822,AT21,ES13,0
823,AT21,ES21,0
824,AT21,ES22,0
825,AT21,ES23,0
826,AT21,ES24,0
827,AT21,ES30,0
828,AT21,ES41,0
829,AT21,ES42,0
830,AT21,ES43,0
831,AT21,ES51,0
832,AT21,ES52,0
833,AT21,ES53,0
834,AT21,ES61,0
835,AT21,ES62,0
836,AT21,ES63,0
837,AT21,ES64,0
838,AT21,ES70,0
839,AT21,FI13,0
840,AT21,FI18,1
841,AT21,FI19,0
842,AT21,FI1A,0
843,AT21,FI20,0
844,AT21,FR10,0
845,AT21,FR21,0
846,AT21,FR22,0
847,AT21,FR23,0
848,AT21,FR24,0
849,AT21,FR25,0
850,AT21,FR26,0
851,AT21,FR30,0
852,AT21,FR41,0
853,AT21,FR42,0
854,AT21,FR43,1
855,AT21,FR51,0
856,AT21,FR52,0
857,AT21,FR53,0
858,AT21,FR61,0
859,AT21,FR62,0
860,AT21,FR63,0
861,AT21,FR71,0
862,AT21,FR72,0
863,AT21,FR81,0
864,AT21,FR82,0
865,AT21,FR83,0
866,AT21,GR11,0
867,AT21,GR12,0
868,AT21,GR13,0
869,AT21,GR14,0
870,AT21,GR21,0
871,AT21,GR22,0
872,AT21,GR23,0
873,AT21,GR24,0
874,AT21,GR25,0
875,AT21,GR30,0
876,AT21,GR41,0
877,AT21,GR42,0
878,AT21,GR43,0
879,AT21,HU10,0
880,AT21,HU21,0
881,AT21,HU22,0
882,AT21,HU23,0
883,AT21,HU31,0
884,AT21,HU32,0
885,AT21,HU33,0
886,AT21,IE01,0
887,AT21,IE02,0
888,AT21,ITC1,0
889,AT21,ITC2,1
890,AT21,ITC3,0
891,AT21,ITC4,0
892,AT21,ITD1,0
893,AT21,ITD2,0
894,AT21,ITD3,0
895,AT21,ITD4,0
896,AT21,ITD5,0
897,AT21,ITE1,0
898,AT21,ITE2,0
899,AT21,ITE3,0
900,AT21,ITE4,0
901,AT21,ITF1,0
902,AT21,ITF2,0
903,AT21,ITF3,0
904,AT21,ITF4,0
905,AT21,ITF5,0
906,AT21,ITF6,0
907,AT21,ITG1,0
908,AT21,ITG2,0
909,AT21,LT00,0
910,AT21,LU00,0
911,AT21,LV00,0
912,AT21,MT00,0
913,AT21,NL11,1
914,AT21,NL12,0
915,AT21,NL13,0
916,AT21,NL21,0
917,AT21,NL22,0
918,AT21,NL23,0
919,AT21,NL31,0
920,AT21,NL32,0
921,AT21,NL33,0
922,AT21,NL34,0
923,AT21,NL41,0
924,AT21,NL42,0
925,AT21,PL11,1
926,AT21,PL12,0
927,AT21,PL21,0
928,AT21,PL22,0
929,AT21,PL31,0
930,AT21,PL32,0
931,AT21,PL33,0
932,AT21,PL34,0
933,AT21,PL41,0
934,AT21,PL42,0
935,AT21,PL43,0
936,AT21,PL51,0
937,AT21,PL52,0
938,AT21,PL61,0
939,AT21,PL62,0
940,AT21,PL63,0
941,AT21,PT11,0
942,AT21,PT15,0
943,AT21,PT16,0
944,AT21,PT17,0
945,AT21,PT18,0
946,AT21,SE11,0
947,AT21,SE12,0
948,AT21,SE21,1
949,AT21,SE22,0
950,AT21,SE23,0
951,AT21,SE31,0
952,AT21,SE32,0
953,AT21,SE33,0
954,AT21,SI00,0
955,AT21,SK01,0
956,AT21,SK02,0
957,AT21,SK03,0
958,AT21,SK04,0
959,AT21,UKC1,0
960,AT21,UKC2,0
961,AT21,UKD1,0
962,AT21,UKD2,0
963,AT21,UKD3,0
964,AT21,UKD4,0
965,AT21,UKD5,0
966,AT21,UKE1,0
967,AT21,UKE2,0
968,AT21,UKE3,0
969,AT21,UKE4,0
970,AT21,UKF1,0
971,AT21,UKF2,0
972,AT21,UKF3,0
973,AT21,UKG1,0
974,AT21,UKG2,0
975,AT21,UKG3,0
976,AT21,UKH1,0
977,AT21,UKH2,0
978,AT21,UKH3,0
979,AT21,UKI1,0
980,AT21,UKI2,0
981,AT21,UKJ1,0
982,AT21,UKJ2,0
983,AT21,UKJ3,1
984,AT21,UKJ4,0
985,AT21,UKK1,0
986,AT21,UKK2,0
987,AT21,UKK3,0
988,AT21,UKK4,0
989,AT21,UKL1,0
990,AT21,UKL2,0
991,AT21,UKM2,0
992,AT21,UKM3,0
993,AT21,UKM5,0
994,AT21,UKM6,0
995,AT21,UKN0,0
996,AT22,AT11,0
997,AT22,AT12,0
998,AT22,AT13,0
999,AT22,AT21,0
1000,AT22,AT22,0
1001,AT22,AT31,0
1002,AT22,AT32,0
1003,AT22,AT33,0
1004,AT22,AT34,0
1005,AT22,BE10,0
1006,AT22,BE21,0
1007,AT22,BE22,0
1008,AT22,BE23,0
1009,AT22,BE24,0
1010,AT22,BE25,0
1011,AT22,BE31,0
1012,AT22,BE32,0
1013,AT22,BE33,0
1014,AT22,BE34,0
1015,AT22,BE35,0
1016,AT22,CZ01,0
1017,AT22,CZ02,0
1018,AT22,CZ03,0
1019,AT22,CZ04,0
1020,AT22,CZ05,0
1021,AT22,CZ06,0
1022,AT22,CZ07,1
1023,AT22,CZ08,0
1024,AT22,DE11,0
1025,AT22,DE12,0
1026,AT22,DE13,0
1027,AT22,DE14,0
1028,AT22,DE21,0
1029,AT22,DE22,0
1030,AT22,DE23,0
1031,AT22,DE24,0
1032,AT22,DE25,0
1033,AT22,DE26,0
1034,AT22,DE27,0
1035,AT22,DE30,0
1036,AT22,DE41,0
1037,AT22,DE42,0
1038,AT22,DE50,0
1039,AT22,DE60,0
1040,AT22,DE71,0
1041,AT22,DE72,0
1042,AT22,DE73,0
1043,AT22,DE80,0
1044,AT22,DE91,0
1045,AT22,DE92,0
1046,AT22,DE93,0
1047,AT22,DE94,0
1048,AT22,DEA1,0
1049,AT22,DEA2,0
1050,AT22,DEA3,0
1051,AT22,DEA4,0
1052,AT22,DEA5,0
1053,AT22,DEB1,0
1054,AT22,DEB2,0
1055,AT22,DEB3,0
1056,AT22,DEC0,0
1057,AT22,DED1,0
1058,AT22,DED2,0
1059,AT22,DED3,0
1060,AT22,DEE1,0
1061,AT22,DEE2,0
1062,AT22,DEE3,0
1063,AT22,DEF0,0
1064,AT22,DEG0,0
1065,AT22,DK01,0
1066,AT22,DK02,0
1067,AT22,DK03,0
1068,AT22,EE00,0
1069,AT22,ES11,0
1070,AT22,ES12,0
1071,AT22,ES13,0
1072,AT22,ES21,0
1073,AT22,ES22,0
1074,AT22,ES23,0
1075,AT22,ES24,0
1076,AT22,ES30,0
1077,AT22,ES41,0
1078,AT22,ES42,0
1079,AT22,ES43,0
1080,AT22,ES51,0
1081,AT22,ES52,0
1082,AT22,ES53,0
1083,AT22,ES61,0
1084,AT22,ES62,0
1085,AT22,ES63,0
1086,AT22,ES64,0
1087,AT22,ES70,0
1088,AT22,FI13,0
1089,AT22,FI18,0
1090,AT22,FI19,0
1091,AT22,FI1A,0
1092,AT22,FI20,0
1093,AT22,FR10,0
1094,AT22,FR21,0
1095,AT22,FR22,0
1096,AT22,FR23,0
1097,AT22,FR24,0
1098,AT22,FR25,0
1099,AT22,FR26,0
1100,AT22,FR30,0
1101,AT22,FR41,0
1102,AT22,FR42,0
1103,AT22,FR43,1
1104,AT22,FR51,0
1105,AT22,FR52,0
1106,AT22,FR53,0
1107,AT22,FR61,0
1108,AT22,FR62,0
1109,AT22,FR63,0
1110,AT22,FR71,0
1111,AT22,FR72,1
1112,AT22,FR81,0
1113,AT22,FR82,0
1114,AT22,FR83,0
1115,AT22,GR11,0
1116,AT22,GR12,0
1117,AT22,GR13,0
1118,AT22,GR14,0
1119,AT22,GR21,0
1120,AT22,GR22,0
